Date,N1,N2,N3,N4,N5,E1,E2
2004-02-13,14,18,31,40,46,8,11
2004-02-20,5,11,41,42,43,3,10
2004-02-27,8,18,28,39,50,2,3
2004-03-05,16,18,43,49,50,2,12
2004-03-12,8,14,22,34,47,2,9
2004-03-19,9,11,38,40,48,2,11
2004-03-26,5,15,28,41,43,5,9
2004-04-02,10,11,14,25,41,3,8
2004-04-09,6,7,29,35,38,6,9
2004-04-16,1,6,8,44,50,3,8
2004-04-23,21,24,30,33,34,6,12
2004-04-30,7,26,30,34,48,2,3
2004-05-07,4,8,28,34,40,3,10
2004-05-14,7,13,36,38,50,2,6
2004-05-21,23,33,35,39,47,1,9
2004-05-28,14,19,30,32,36,2,10
2004-06-04,7,10,16,23,25,10,11
2004-06-11,2,20,26,39,50,1,5
2004-06-18,9,19,28,31,42,1,5
2004-06-25,2,6,20,32,46,9,11
2004-07-02,5,9,10,11,49,5,12
2004-07-09,6,9,12,41,48,1,11
2004-07-16,3,8,21,38,50,10,12
2004-07-23,6,12,18,27,31,1,8
2004-07-30,1,4,11,29,42,2,8
2004-08-06,11,28,38,42,47,10,11
2004-08-13,16,18,27,38,48,7,10
2004-08-20,7,10,14,23,41,2,10
2004-08-27,1,11,22,40,48,5,8
2004-09-03,10,16,22,27,28,5,11
2004-09-10,28,31,32,34,36,3,5
2004-09-17,1,5,17,21,40,2,11
2004-09-24,1,8,16,36,43,6,9
2004-10-01,7,18,21,32,36,2,7
2004-10-08,3,16,30,31,34,4,9
2004-10-15,10,15,29,45,49,6,12
2004-10-22,1,13,18,40,50,7,10
2004-10-29,3,15,34,38,43,4,11
2004-11-05,12,26,30,31,41,2,6
2004-11-12,11,14,18,26,49,3,10
2004-11-19,17,19,42,43,46,1,9
2004-11-26,22,23,27,30,43,2,8
2004-12-03,8,9,31,33,41,11,12
2004-12-10,7,14,26,43,49,1,4
2004-12-17,1,7,26,32,45,10,11
2004-12-24,4,10,14,16,37,7,11
2004-12-31,28,43,44,46,48,1,12
2005-01-07,23,27,41,44,45,4,9
2005-01-14,11,18,19,28,46,1,12
2005-01-21,15,35,42,45,47,1,9
2005-01-28,19,30,36,38,39,1,5
2005-02-04,17,20,26,35,46,7,12
2005-02-11,7,10,14,38,42,8,9
2005-02-18,1,2,5,22,25,2,12
2005-02-25,10,15,18,19,36,2,5
2005-03-04,9,11,20,21,29,2,3
2005-03-11,6,9,10,36,44,4,5
2005-03-18,14,22,37,40,41,5,11
2005-03-25,7,16,39,40,45,3,12
2005-04-01,9,10,33,36,47,3,7
2005-04-08,10,21,35,45,49,9,12
2005-04-15,10,18,22,41,43,1,5
2005-04-22,5,6,33,34,44,4,5
2005-04-29,2,22,30,31,40,11,12
2005-05-06,15,20,28,30,49,2,10
2005-05-13,2,10,19,22,42,3,5
2005-05-20,3,33,36,39,43,1,3
2005-05-27,14,15,21,41,43,8,10
2005-06-03,6,16,32,35,39,6,8
2005-06-10,2,6,24,48,49,5,6
2005-06-17,2,17,27,43,44,2,5
2005-06-24,5,7,8,11,48,2,5
2005-07-01,17,26,33,36,43,4,7
2005-07-08,1,16,22,31,43,2,9
2005-07-15,5,8,14,28,36,7,10
2005-07-22,2,21,34,39,43,3,12
2005-07-29,8,9,12,16,26,9,10
2005-08-05,18,19,26,28,29,5,6
2005-08-12,4,11,12,30,44,2,3
2005-08-19,1,5,24,46,50,5,6
2005-08-26,20,27,34,43,50,4,5
2005-09-02,16,17,35,43,47,2,11
2005-09-09,1,6,9,23,37,8,9
2005-09-16,9,26,31,32,43,2,9
2005-09-23,1,21,26,28,50,8,11
2005-09-30,6,14,20,41,44,5,11
2005-10-07,18,20,27,46,47,3,12
2005-10-14,3,6,42,45,50,5,12
2005-10-21,3,16,20,46,48,3,7
2005-10-28,8,13,29,41,45,9,10
2005-11-04,15,30,31,42,48,3,9
2005-11-11,2,7,9,10,12,7,9
2005-11-18,9,23,29,31,38,6,10
2005-11-25,2,7,13,40,44,4,8
2005-12-02,8,9,36,37,43,3,10
2005-12-09,1,34,35,48,50,1,10
2005-12-16,16,25,28,40,46,8,9
2005-12-23,7,14,18,39,47,5,6
2005-12-30,8,9,11,33,50,3,5
2006-01-06,18,26,41,42,45,7,11
2006-01-13,1,5,14,34,42,2,6
2006-01-20,29,35,42,45,48,3,4
2006-01-27,12,13,22,35,37,3,11
2006-02-03,8,24,25,38,48,1,2
2006-02-10,1,2,18,27,33,3,11
2006-02-17,10,11,22,33,35,1,6
2006-02-24,4,5,15,17,34,1,5
2006-03-03,7,12,32,47,48,4,10
2006-03-10,1,7,12,14,35,6,12
2006-03-17,12,19,22,33,36,5,12
2006-03-24,5,37,40,46,50,8,10
2006-03-31,11,20,21,29,50,3,12
2006-04-07,3,13,24,39,47,6,12
2006-04-14,2,5,25,26,29,5,12
2006-04-21,7,9,10,13,37,1,10
2006-04-28,11,25,39,46,50,10,12
2006-05-05,3,20,24,34,48,3,6
2006-05-12,6,7,30,39,41,3,5
2006-05-19,15,19,30,32,45,5,6
2006-05-26,1,2,14,24,44,6,9
2006-06-02,3,13,32,42,46,4,5
2006-06-09,9,16,36,41,50,10,12
2006-06-16,17,21,36,38,48,7,11
2006-06-23,8,18,41,46,50,1,8
2006-06-30,22,30,33,44,50,8,12
2006-07-07,1,6,7,8,32,3,8
2006-07-14,2,3,23,46,47,4,10
2006-07-21,8,11,12,26,50,2,3
2006-07-28,8,40,45,47,50,8,9
2006-08-04,3,9,11,34,50,1,4
2006-08-11,1,21,28,31,45,9,12
2006-08-18,14,17,19,29,32,9,10
2006-08-25,4,12,28,32,47,2,8
2006-09-01,7,8,14,17,47,2,7
2006-09-08,1,3,29,44,46,2,10
2006-09-15,15,24,29,37,46,6,9
2006-09-22,14,25,27,38,39,2,3
2006-09-29,6,8,10,38,47,3,7
2006-10-06,7,17,22,24,37,7,11
2006-10-13,1,14,15,19,28,5,9
2006-10-20,3,4,20,28,34,5,12
2006-10-27,1,8,32,42,45,1,10
2006-11-03,5,30,36,37,47,4,12
2006-11-10,4,8,17,42,44,3,7
2006-11-17,2,8,11,31,50,6,9
2006-11-24,14,23,43,46,47,4,8
2006-12-01,1,6,29,34,45,1,4
2006-12-08,6,27,31,32,33,3,5
2006-12-15,16,26,35,39,50,1,12
2006-12-22,1,6,8,15,40,4,7
2006-12-29,16,18,25,28,32,5,10
2007-01-05,2,22,23,41,50,2,11
2007-01-12,3,6,19,30,39,4,5
2007-01-19,1,5,11,30,41,5,12
2007-01-26,15,44,45,47,50,8,11
2007-02-02,23,37,46,48,49,8,12
2007-02-09,14,20,27,42,50,7,12
2007-02-16,22,27,35,47,49,2,6
2007-02-23,9,18,21,29,31,1,6
2007-03-02,9,25,27,42,50,6,8
2007-03-09,5,11,15,16,23,9,10
2007-03-16,12,17,23,35,50,6,8
2007-03-23,3,11,30,37,45,8,10
2007-03-30,18,27,29,39,43,9,11
2007-04-06,20,27,28,44,48,8,11
2007-04-13,1,6,7,37,42,3,6
2007-04-20,4,7,23,35,38,5,8
2007-04-27,26,27,29,35,46,6,11
2007-05-04,6,7,34,37,50,8,12
2007-05-11,5,11,18,39,49,3,11
2007-05-18,14,34,36,38,42,6,9
2007-05-25,5,7,16,25,32,4,12
2007-06-01,3,12,22,27,49,9,12
2007-06-08,28,35,40,42,47,3,9
2007-06-15,7,20,31,34,41,3,9
2007-06-22,2,8,34,38,46,5,8
2007-06-29,4,15,26,28,34,2,12
2007-07-06,2,6,7,13,37,5,11
2007-07-13,20,33,40,45,49,9,12
2007-07-20,11,17,29,35,43,4,12
2007-07-27,26,39,42,47,49,3,12
2007-08-03,11,15,40,45,49,4,12
2007-08-10,10,15,26,31,41,3,12
2007-08-17,3,32,34,40,48,1,12
2007-08-24,18,21,32,37,42,10,11
2007-08-31,3,7,32,44,49,9,12
2007-09-07,21,27,28,41,50,1,3
2007-09-14,8,13,19,21,49,2,6
2007-09-21,5,19,23,25,49,2,12
2007-09-28,2,5,8,18,44,2,11
2007-10-05,1,9,18,36,39,3,4
2007-10-12,6,15,17,25,26,8,11
2007-10-19,4,9,16,17,36,2,11
2007-10-26,14,34,47,49,50,1,3
2007-11-02,13,27,38,40,48,8,11
2007-11-09,23,28,31,35,39,2,4
2007-11-16,9,15,23,30,34,4,8
2007-11-23,10,12,19,33,43,6,11
2007-11-30,14,30,35,43,46,2,10
2007-12-07,33,34,40,44,49,6,8
2007-12-14,5,23,27,41,44,7,10
2007-12-21,2,12,17,28,44,3,7
2007-12-28,3,25,27,30,39,2,6
2008-01-04,8,13,26,30,35,9,11
2008-01-11,2,9,18,27,29,6,7
2008-01-18,7,10,24,27,32,2,12
2008-01-25,31,37,40,48,49,6,10
2008-02-01,11,13,20,31,39,9,10
2008-02-08,9,18,30,31,36,6,9
2008-02-15,17,33,34,38,39,3,12
2008-02-22,4,11,24,27,50,6,10
2008-02-29,26,31,37,38,50,3,7
2008-03-07,2,25,31,33,42,2,9
2008-03-14,1,3,9,15,42,2,4
2008-03-21,2,3,8,12,39,4,9
2008-03-28,2,8,26,30,47,1,3
2008-04-04,24,37,44,48,50,4,8
2008-04-11,9,26,30,36,42,2,9
2008-04-18,7,12,25,34,42,6,11
2008-04-25,4,23,27,33,43,3,5
2008-05-02,2,24,29,42,43,1,8
2008-05-09,2,9,16,17,49,3,12
2008-05-16,7,9,23,34,39,2,7
2008-05-23,10,12,31,35,43,7,10
2008-05-30,25,33,34,35,41,5,12
2008-06-06,4,14,19,33,41,3,8
2008-06-13,2,11,28,42,45,4,11
2008-06-20,8,9,27,31,49,8,11
2008-06-27,6,25,38,45,46,6,8
2008-07-04,1,15,36,44,48,7,9
2008-07-11,9,12,27,29,36,6,12
2008-07-18,8,18,25,34,35,2,4
2008-07-25,15,34,42,47,49,8,9
2008-08-01,20,24,26,29,40,5,12
2008-08-08,26,31,39,42,48,6,9
2008-08-15,6,11,17,37,41,1,3
2008-08-22,9,31,42,43,46,6,7
2008-08-29,5,6,11,24,36,3,12
2008-09-05,1,8,16,29,41,4,5
2008-09-12,1,3,7,23,33,6,9
2008-09-19,9,12,25,38,43,1,10
2008-09-26,5,38,41,44,49,2,5
2008-10-03,3,5,10,31,37,6,9
2008-10-10,5,23,36,43,49,3,8
2008-10-17,12,22,28,37,48,5,6
2008-10-24,15,28,30,41,42,7,8
2008-10-31,16,19,24,39,48,3,4
2008-11-07,5,10,27,45,48,1,2
2008-11-14,8,18,31,37,40,2,5
2008-11-21,12,14,17,21,37,4,5
2008-11-28,5,16,17,20,37,4,9
2008-12-05,2,19,25,29,41,1,10
2008-12-12,16,25,26,34,45,1,7
2008-12-19,12,14,19,25,41,5,8
2008-12-26,3,6,11,34,50,4,12
2009-01-02,1,3,11,15,36,4,12
2009-01-09,6,12,23,33,41,3,10
2009-01-16,4,18,28,37,39,4,7
2009-01-23,7,15,24,27,37,6,7
2009-01-30,13,24,33,36,49,10,12
2009-02-06,3,8,27,28,36,1,6
2009-02-13,5,22,25,26,41,6,7
2009-02-20,1,15,16,33,43,2,4
2009-02-27,8,12,14,24,32,7,8
2009-03-06,9,14,16,21,50,2,12
2009-03-13,2,27,43,46,49,4,7
2009-03-20,8,18,24,29,30,2,4
2009-03-27,3,7,17,18,32,3,9
2009-04-03,2,4,30,36,38,2,3
2009-04-10,1,10,11,17,32,3,11
2009-04-17,7,12,13,24,44,1,12
2009-04-24,13,25,29,46,48,6,7
2009-05-01,17,30,33,41,43,8,12
2009-05-08,12,26,28,35,48,5,6
2009-05-15,19,27,32,35,38,7,9
2009-05-22,5,14,32,33,35,6,8
2009-05-29,13,30,35,41,47,2,9
2009-06-05,11,26,29,45,47,5,8
2009-06-12,5,7,12,18,23,7,10
2009-06-19,5,6,8,14,33,5,6
2009-06-26,3,10,16,23,44,10,11
2009-07-03,2,6,11,28,37,3,7
2009-07-10,3,4,12,32,44,7,8
2009-07-17,7,36,38,46,47,8,10
2009-07-24,1,30,37,42,45,5,9
2009-07-31,6,19,23,35,47,5,6
2009-08-07,10,19,26,36,38,6,12
2009-08-14,4,10,20,25,30,4,12
2009-08-21,10,14,16,17,42,4,9
2009-08-28,13,34,39,43,49,10,11
2009-09-04,13,25,27,30,46,10,11
2009-09-11,2,18,24,28,36,5,8
2009-09-18,16,20,36,37,42,4,10
2009-09-25,5,16,19,32,37,4,8
2009-10-02,1,11,13,45,47,8,12
2009-10-09,3,26,41,44,47,2,7
2009-10-16,4,18,22,32,40,1,6
2009-10-23,3,17,19,27,35,1,11
2009-10-30,11,14,21,41,43,1,9
2009-11-06,3,6,8,10,26,2,9
2009-11-13,7,12,16,23,49,6,12
2009-11-20,2,25,36,37,44,6,12
2009-11-27,6,11,15,16,23,7,11
2009-12-04,5,25,28,33,49,1,6
2009-12-11,1,21,35,36,50,2,9
2009-12-18,9,22,26,30,38,8,10
2009-12-25,12,30,31,34,39,1,5
2010-01-01,14,16,24,29,34,6,7
2010-01-08,4,13,22,40,46,11,12
2010-01-15,1,11,14,18,27,2,3
2010-01-22,5,12,18,36,41,7,10
2010-01-29,14,25,32,40,49,11,12
2010-02-05,9,10,23,25,27,7,12
2010-02-12,11,26,32,37,43,5,10
2010-02-19,37,41,46,47,49,3,10
2010-02-26,11,22,35,36,40,1,3
2010-03-05,1,10,28,33,43,1,6
2010-03-12,7,11,25,28,34,4,12
2010-03-19,23,27,31,40,46,2,10
2010-03-26,1,3,14,31,33,5,6
2010-04-02,3,7,8,23,43,4,9
2010-04-09,10,16,17,36,43,3,11
2010-04-16,5,10,22,27,43,6,7
2010-04-23,14,23,31,46,47,1,6
2010-04-30,5,10,29,31,42,2,5
2010-05-07,5,18,25,36,37,1,6
2010-05-14,21,35,42,43,48,4,7
2010-05-21,7,10,25,33,47,3,11
2010-05-28,8,22,43,47,49,1,2
2010-06-04,11,26,29,36,38,1,11
2010-06-11,5,6,34,35,45,8,10
2010-06-18,2,9,17,18,50,5,7
2010-06-25,12,15,28,39,42,5,12
2010-07-02,2,3,6,15,38,1,9
2010-07-09,11,17,29,36,47,2,4
2010-07-16,4,8,12,37,39,2,12
2010-07-23,13,14,35,36,39,6,10
2010-07-30,25,30,35,38,48,5,12
2010-08-06,12,14,28,42,49,2,8
2010-08-13,5,8,11,41,47,2,6
2010-08-20,1,5,11,20,29,2,11
2010-08-27,8,11,28,39,48,3,10
2010-09-03,2,5,9,31,46,6,9
2010-09-10,14,24,29,33,48,2,12
2010-09-17,4,24,27,31,32,1,6
2010-09-24,10,13,38,46,50,6,7
2010-10-01,13,15,17,28,36,2,12
2010-10-08,10,12,20,25,26,9,10
2010-10-15,5,15,19,21,32,2,7
2010-10-22,3,4,10,20,49,1,11
2010-10-29,5,8,12,21,39,1,12
2010-11-05,19,22,31,39,46,7,8
2010-11-12,1,22,33,40,42,7,8
2010-11-19,11,15,34,46,50,3,7
2010-11-26,10,14,24,27,33,6,7
2010-12-03,5,22,27,47,50,1,9
2010-12-10,12,36,41,47,50,1,8
2010-12-17,16,18,27,36,39,8,12
2010-12-24,7,10,29,34,39,7,10
2010-12-31,9,13,16,27,40,2,6
2011-01-07,1,13,22,27,47,5,10
2011-01-14,3,6,17,20,48,7,8
2011-01-21,20,21,32,44,46,1,7
2011-01-28,1,6,19,24,39,7,9
2011-02-04,7,18,37,49,50,3,4
2011-02-11,6,8,37,38,47,5,9
2011-02-18,5,11,31,36,39,5,10
2011-02-25,7,21,24,27,34,5,8
2011-03-04,5,9,20,32,43,2,11
2011-03-11,11,23,36,42,47,5,10
2011-03-18,5,20,24,35,41,8,10
2011-03-25,14,24,26,32,33,11,12
2011-04-01,7,20,32,38,45,6,7
2011-04-08,8,15,16,25,32,8,11
2011-04-15,6,13,32,48,49,5,10
2011-04-22,13,23,28,32,36,8,12
2011-04-29,5,13,32,42,49,1,12
2011-05-06,11,12,33,38,41,10,11
2011-05-13,2,26,28,43,49,5,6
2011-05-20,15,23,28,33,48,6,7
2011-05-27,2,11,12,14,38,7,10
2011-06-03,11,17,44,46,50,2,3
2011-06-10,8,27,29,39,48,7,9
2011-06-17,10,12,21,22,49,4,6
2011-06-24,4,24,41,43,49,2,8
2011-07-01,5,16,30,36,43,7,12
2011-07-08,7,14,29,30,36,6,12
2011-07-15,19,27,31,36,41,6,8
2011-07-22,1,10,11,36,45,8,12
2011-07-29,3,14,15,35,43,8,11
2011-08-05,8,9,21,26,39,9,12
2011-08-12,7,16,24,30,38,9,11
2011-08-19,8,11,19,32,35,7,9
2011-08-26,1,20,33,41,49,4,5
2011-09-02,2,9,19,23,47,1,6
2011-09-09,4,17,19,43,49,3,4
2011-09-16,5,12,34,40,50,1,2
2011-09-23,3,6,24,37,40,1,5
2011-09-30,5,9,13,21,22,8,12
2011-10-07,3,14,20,23,41,5,8
2011-10-14,14,24,27,35,41,3,8
2011-10-21,7,13,15,25,27,2,8
2011-10-28,4,20,22,35,43,5,6
2011-11-04,4,14,18,31,50,1,12
2011-11-11,6,15,19,25,45,4,5
2011-11-18,4,8,18,36,41,6,8
2011-11-25,9,18,19,37,47,4,7
2011-12-02,6,18,29,31,44,2,3
2011-12-09,1,6,21,22,41,2,6
2011-12-16,9,11,24,26,47,4,8
2011-12-23,3,29,32,40,46,6,9
2011-12-30,21,22,25,29,50,1,5
2012-01-06,5,19,25,37,40,3,4
2012-01-13,4,9,16,21,48,2,6
2012-01-20,14,15,19,29,41,4,9
2012-01-27,1,15,34,39,47,5,7
2012-02-03,3,25,43,46,50,5,7
2012-02-10,5,13,21,44,49,3,8
2012-02-17,33,36,38,42,48,4,9
2012-02-24,13,27,33,45,46,3,11
2012-03-02,1,29,40,42,46,1,9
2012-03-09,17,20,22,35,39,11,12
2012-03-16,23,30,36,44,46,6,7
2012-03-23,2,4,10,41,49,2,5
2012-03-30,18,27,30,45,50,2,8
2012-04-06,10,19,21,37,50,3,5
2012-04-13,16,24,33,38,48,8,11
2012-04-20,4,26,33,35,49,2,10
2012-04-27,8,10,14,32,40,4,10
2012-05-04,7,18,21,22,42,5,11
2012-05-11,9,18,33,41,48,7,12
2012-05-18,7,11,18,38,42,6,7
2012-05-25,16,17,26,48,49,4,12
2012-06-01,19,24,25,36,43,2,4
2012-06-08,1,14,27,45,48,2,8
2012-06-15,16,27,32,37,50,6,11
2012-06-22,8,16,18,29,47,2,8
2012-06-29,5,19,26,33,48,2,3
2012-07-06,9,32,34,42,43,1,2
2012-07-13,3,14,40,46,48,1,12
2012-07-20,12,14,32,33,48,9,11
2012-07-27,2,32,35,36,45,6,9
2012-08-03,13,17,23,29,37,3,10
2012-08-10,6,9,35,38,48,4,10
2012-08-17,1,28,29,46,47,2,8
2012-08-24,8,28,33,43,49,5,12
2012-08-31,12,20,27,38,40,9,11
2012-09-07,2,9,26,31,50,6,11
2012-09-14,13,16,19,36,47,9,10
2012-09-21,6,14,22,30,31,7,11
2012-09-28,11,17,25,26,44,6,11
2012-10-05,21,25,31,32,40,1,5
2012-10-12,4,17,41,42,50,8,9
2012-10-19,1,6,9,18,21,6,7
2012-10-26,2,8,9,15,35,5,11
2012-11-02,23,31,34,37,49,1,10
2012-11-09,21,24,28,30,49,8,9
2012-11-16,1,3,15,23,34,4,9
2012-11-23,7,8,14,23,37,9,11
2012-11-30,5,11,17,41,50,2,4
2012-12-07,3,18,19,24,25,4,10
2012-12-14,4,12,19,30,39,6,8
2012-12-21,11,20,36,38,43,7,11
2012-12-28,15,19,24,38,46,3,6
2013-01-04,12,14,21,38,45,1,8
2013-01-11,19,38,39,44,47,2,8
2013-01-18,1,2,5,15,22,4,10
2013-01-25,17,31,34,36,46,2,4
2013-02-01,4,13,19,34,41,8,9
2013-02-08,1,3,28,38,44,9,10
2013-02-15,1,3,8,38,39,9,10
2013-02-22,6,11,27,33,48,3,4
2013-03-01,4,18,36,38,41,7,8
2013-03-08,12,17,22,34,39,9,12
2013-03-15,22,24,30,35,39,5,8
2013-03-22,6,15,30,38,40,9,11
2013-03-29,14,25,37,40,44,1,10
2013-04-05,10,11,32,35,48,4,6
2013-04-12,3,21,30,45,47,2,8
2013-04-19,31,34,36,43,45,6,8
2013-04-26,6,19,21,44,47,2,3
2013-05-03,4,7,20,32,47,4,12
2013-05-10,4,29,40,43,50,5,8
2013-05-17,25,29,34,41,42,7,10
2013-05-24,28,30,34,45,46,2,7
2013-05-31,8,10,25,29,43,5,6
2013-06-07,5,13,28,30,33,1,2
2013-06-14,9,26,35,39,43,7,12
2013-06-21,7,13,27,35,39,3,7
2013-06-28,15,24,31,40,41,8,11
2013-07-05,9,13,32,38,41,8,10
2013-07-12,6,8,21,30,50,3,10
2013-07-19,7,20,21,36,43,7,8
2013-07-26,8,15,39,42,50,3,8
2013-08-02,12,19,27,47,48,1,5
2013-08-09,3,7,32,33,43,9,10
2013-08-16,19,20,30,38,47,3,10
2013-08-23,3,7,13,16,26,3,6
2013-08-30,11,23,31,36,41,3,9
2013-09-06,10,17,23,44,50,1,10
