Date,N1,N2,N3,N4,N5,E1,E2
2013-09-13,17,28,29,32,39,3,8
2013-09-20,16,29,35,41,49,1,2
2013-09-27,13,14,23,26,30,2,7
2013-10-04,1,10,28,35,46,3,10
2013-10-11,9,16,30,35,39,2,3
2013-10-18,6,7,32,45,49,6,11
2013-10-25,2,6,11,16,48,3,8
2013-11-01,10,15,40,48,49,4,7
2013-11-08,28,35,36,44,48,2,7
2013-11-15,9,11,17,19,32,3,7
2013-11-22,1,8,11,27,50,6,9
2013-11-29,8,12,17,18,48,3,4
2013-12-06,6,7,16,34,48,3,10
2013-12-13,7,23,34,41,50,9,11
2013-12-20,6,12,26,30,44,4,11
2013-12-27,1,8,23,28,32,3,11
2014-01-03,7,20,21,22,36,5,10
2014-01-10,5,6,21,32,47,2,11
2014-01-17,2,6,10,17,19,2,5
2014-01-24,13,33,34,46,48,5,11
2014-01-31,7,17,28,48,49,9,12
2014-02-07,1,11,30,37,43,2,7
2014-02-14,2,9,16,19,27,6,11
2014-02-21,4,8,25,28,33,2,10
2014-02-28,12,26,38,42,44,1,2
2014-03-07,25,36,40,46,47,3,5
2014-03-14,18,22,31,37,45,9,10
2014-03-21,5,20,31,33,43,4,10
2014-03-28,12,18,19,23,33,3,11
2014-04-04,14,16,23,38,43,1,8
2014-04-11,8,12,18,34,39,2,4
2014-04-18,7,14,39,41,49,2,3
2014-04-25,15,25,43,46,48,10,12
2014-05-02,4,19,21,32,43,4,8
2014-05-09,4,8,9,29,30,1,4
2014-05-16,5,17,24,38,44,8,10
2014-05-23,1,19,24,26,31,1,9
2014-05-30,21,30,32,42,48,8,9
2014-06-06,1,10,15,18,32,6,11
2014-06-13,6,16,39,40,49,2,10
2014-06-20,6,9,47,48,50,4,8
2014-06-27,18,22,38,42,43,7,12
2014-07-04,1,11,21,25,27,2,9
2014-07-11,11,17,23,30,47,9,10
2014-07-18,8,20,38,43,44,4,9
2014-07-25,25,30,32,42,46,2,9
2014-08-01,3,16,24,31,39,2,12
2014-08-08,4,13,14,19,26,3,4
2014-08-15,18,30,33,36,50,4,11
2014-08-22,13,24,28,40,48,4,12
2014-08-29,4,23,25,46,47,6,8
2014-09-05,1,10,20,36,42,10,11
2014-09-12,1,14,32,35,49,3,9
2014-09-19,1,5,12,14,30,6,7
2014-09-26,21,37,39,40,48,3,7
2014-10-03,6,8,20,28,49,1,5
2014-10-10,14,16,21,27,47,4,10
2014-10-17,10,14,18,21,32,7,8
2014-10-24,27,35,37,44,48,5,9
2014-10-31,4,6,15,22,31,5,7
2014-11-07,9,25,35,39,40,3,11
2014-11-14,8,12,13,26,44,1,7
2014-11-21,4,7,17,44,49,3,8
2014-11-28,2,10,11,13,18,6,10
2014-12-05,6,10,14,21,24,4,9
2014-12-12,14,28,30,31,47,1,12
2014-12-19,1,2,14,20,31,1,3
2014-12-26,6,11,15,33,35,1,8
2015-01-02,1,5,17,43,44,3,5
2015-01-09,6,18,32,39,50,7,10
2015-01-16,3,4,23,25,39,2,10
2015-01-23,7,12,13,14,42,3,12
2015-01-30,16,17,40,43,50,7,10
2015-02-06,7,8,19,24,35,2,7
2015-02-13,14,15,18,27,33,5,11
2015-02-20,17,20,25,40,49,7,8
2015-02-27,19,32,34,38,46,10,11
2015-03-06,1,8,14,17,46,1,3
2015-03-13,15,21,30,34,48,2,4
2015-03-20,3,7,12,26,43,8,9
2015-03-27,1,7,12,17,43,5,11
2015-04-03,11,12,14,32,34,5,10
2015-04-10,5,13,27,29,31,7,12
2015-04-17,3,13,29,37,48,4,11
2015-04-24,1,5,13,21,35,1,11
2015-05-01,13,18,19,27,35,9,10
2015-05-08,1,2,8,20,36,2,12
2015-05-15,2,8,14,40,43,3,4
2015-05-22,16,20,21,32,46,5,11
2015-05-29,7,10,11,14,19,3,6
2015-06-05,8,27,46,49,50,6,9
2015-06-12,2,22,29,38,40,5,7
2015-06-19,12,32,40,43,46,5,7
2015-06-26,13,14,17,28,48,3,11
2015-07-03,3,11,12,21,35,3,11
2015-07-10,2,14,18,21,50,3,9
2015-07-17,3,6,8,37,39,7,12
2015-07-24,17,24,38,47,50,3,6
2015-07-31,9,12,31,33,47,1,6
2015-08-07,8,16,23,35,50,4,6
2015-08-14,16,20,22,24,36,3,5
2015-08-21,3,11,12,41,47,8,10
2015-08-28,2,22,26,43,44,8,10
2015-09-04,2,11,17,29,46,5,12
2015-09-11,2,4,10,20,46,2,10
2015-09-18,9,21,40,45,47,1,6
2015-09-25,27,34,38,39,47,3,11
2015-10-02,3,25,26,40,50,6,7
2015-10-09,2,7,9,19,26,4,5
2015-10-16,15,16,23,26,40,4,11
2015-10-23,3,10,12,13,48,2,10
2015-10-30,8,13,17,20,32,2,11
2015-11-06,16,17,35,38,46,11,12
2015-11-13,1,4,7,14,30,5,6
2015-11-20,20,25,29,31,36,1,8
2015-11-27,1,2,14,48,49,2,3
2015-12-04,5,24,36,41,45,3,7
2015-12-11,8,34,37,38,45,7,9
2015-12-18,2,16,30,42,48,4,5
2015-12-25,2,8,11,23,37,1,6
2016-01-01,14,39,42,47,49,10,11
2016-01-08,9,21,28,29,37,2,3
2016-01-15,13,15,18,29,45,9,10
2016-01-22,2,22,34,38,48,2,10
2016-01-29,1,14,16,43,48,1,5
2016-02-05,9,16,30,37,40,4,5
2016-02-12,1,6,9,10,21,8,12
2016-02-19,4,15,41,43,50,3,6
2016-02-26,2,3,16,22,32,11,12
2016-03-04,6,8,35,42,50,5,8
2016-03-11,4,10,37,38,50,2,6
2016-03-18,12,16,28,35,41,5,10
2016-03-25,3,26,28,42,50,3,4
2016-04-01,12,16,20,21,27,10,12
2016-04-08,18,23,29,47,50,1,5
2016-04-15,3,13,16,21,46,5,9
2016-04-22,16,24,30,31,33,9,10
2016-04-29,3,8,15,29,48,1,11
2016-05-06,12,21,25,28,45,3,12
2016-05-13,8,10,12,14,15,3,11
2016-05-20,1,11,28,32,45,4,7
2016-05-27,11,18,31,35,36,4,8
2016-06-03,5,14,15,33,48,4,11
2016-06-10,6,10,11,13,37,10,11
2016-06-17,1,7,28,44,46,4,11
2016-06-24,5,6,12,15,17,3,8
2016-07-01,16,26,34,35,50,3,9
2016-07-08,4,22,36,41,50,9,11
2016-07-15,1,3,22,42,43,3,4
2016-07-22,2,4,7,18,22,1,5
2016-07-29,3,12,17,20,26,5,6
2016-08-05,15,18,21,43,44,7,9
2016-08-12,17,19,31,37,42,7,8
2016-08-19,7,13,20,41,49,6,12
2016-08-26,7,10,26,31,39,5,12
2016-09-02,4,12,19,31,38,4,6
2016-09-09,18,20,45,47,48,4,10
2016-09-16,17,19,25,41,50,8,10
2016-09-23,28,36,37,44,45,8,11
2016-09-30,4,18,25,40,48,1,7
2016-10-07,2,22,23,43,50,1,11
2016-10-14,5,12,30,33,40,1,6
2016-10-21,5,8,16,21,36,2,9
2016-10-28,16,20,28,34,42,1,6
2016-11-04,9,10,23,25,47,4,5
2016-11-11,3,17,21,23,36,7,9
2016-11-18,1,5,21,43,50,7,9
2016-11-25,3,4,16,19,26,5,10
2016-12-02,1,18,19,31,37,1,5
2016-12-09,8,10,34,37,46,1,11
2016-12-16,5,26,29,39,40,3,11
2016-12-23,7,13,20,32,42,2,11
2016-12-30,22,27,28,37,46,6,7
2017-01-06,14,22,40,41,42,8,11
2017-01-13,5,27,41,46,48,5,12
2017-01-20,3,17,19,25,34,7,12
2017-01-27,21,25,32,34,46,2,11
2017-02-03,1,2,6,27,28,1,9
2017-02-10,5,14,19,37,40,4,10
2017-02-17,9,15,16,17,26,3,6
2017-02-24,5,18,21,42,45,2,3
2017-03-03,31,34,39,46,49,2,11
2017-03-10,11,13,15,28,29,2,6
2017-03-17,1,14,18,21,28,9,12
2017-03-24,6,26,42,43,46,5,12
2017-03-31,5,11,18,44,49,5,7
2017-04-07,25,37,39,46,50,3,12
2017-04-14,2,13,34,41,48,4,10
2017-04-21,5,9,10,15,26,11,12
2017-04-28,11,19,31,44,50,2,6
2017-05-05,13,19,20,22,33,3,9
2017-05-12,28,29,41,46,48,3,7
2017-05-19,16,32,33,41,49,7,11
2017-05-26,7,20,22,29,31,3,12
2017-06-02,8,10,18,24,29,7,9
2017-06-09,4,17,18,27,38,2,5
2017-06-16,3,5,32,35,50,1,11
2017-06-23,6,21,26,35,50,7,9
2017-06-30,19,22,24,33,36,3,8
2017-07-07,8,10,27,37,43,7,9
2017-07-14,1,9,43,48,50,1,2
2017-07-21,7,10,30,36,38,5,9
2017-07-28,1,14,21,22,49,3,6
2017-08-04,12,19,37,40,47,9,10
2017-08-11,2,12,30,48,49,11,12
2017-08-18,26,31,39,44,50,3,12
2017-08-25,16,26,47,48,49,10,12
2017-09-01,3,26,40,44,47,7,8
2017-09-08,4,18,28,31,49,3,12
2017-09-15,4,13,15,21,43,2,6
2017-09-22,11,29,34,41,50,7,9
2017-09-29,9,29,30,43,45,2,10
2017-10-06,2,10,12,15,46,6,10
2017-10-13,2,16,17,24,39,4,11
2017-10-20,1,2,20,27,49,3,12
2017-10-27,2,8,10,11,25,4,10
2017-11-03,13,26,28,42,45,4,7
2017-11-10,3,11,13,27,31,7,9
2017-11-17,10,14,26,33,44,4,11
2017-11-24,8,13,23,37,45,7,11
2017-12-01,21,23,31,43,48,3,12
2017-12-08,19,25,32,36,41,1,12
2017-12-15,2,10,18,25,35,3,10
2017-12-22,19,20,31,39,50,4,7
2017-12-29,7,8,11,25,44,10,11
2018-01-05,6,8,35,36,50,7,11
2018-01-12,13,18,23,48,50,3,10
2018-01-19,9,22,26,28,33,6,10
2018-01-26,11,22,28,35,46,3,12
2018-02-02,6,24,28,36,46,2,11
2018-02-09,5,6,25,31,44,3,10
2018-02-16,19,21,33,36,38,4,8
2018-02-23,3,5,20,25,31,5,11
2018-03-02,10,12,27,32,38,6,9
2018-03-09,14,23,42,45,48,6,10
2018-03-16,1,6,8,35,40,5,8
2018-03-23,5,9,11,20,37,4,11
2018-03-30,10,18,19,29,43,1,9
2018-04-06,12,32,35,44,45,8,11
2018-04-13,4,19,29,34,38,2,11
2018-04-20,1,6,8,20,35,2,11
2018-04-27,23,24,31,42,46,8,11
2018-05-04,1,9,38,43,49,7,10
2018-05-11,3,11,26,36,44,1,3
2018-05-18,8,29,35,41,47,5,12
2018-05-25,6,8,15,32,38,1,9
2018-06-01,11,20,27,40,48,2,9
2018-06-08,5,13,18,24,30,4,10
2018-06-15,1,24,36,37,38,5,12
2018-06-22,7,10,18,19,44,3,9
2018-06-29,2,7,21,23,31,2,11
2018-07-06,5,8,12,23,24,2,5
2018-07-13,1,2,14,26,49,1,10
2018-07-20,8,13,43,47,49,5,8
2018-07-27,21,30,40,44,46,1,7
2018-08-03,1,34,41,48,49,3,7
2018-08-10,5,16,25,46,47,4,6
2018-08-17,33,34,38,41,46,1,10
2018-08-24,2,3,14,22,44,10,12
2018-08-31,3,4,10,22,49,7,10
2018-09-07,24,30,35,39,41,1,7
2018-09-14,19,21,26,38,39,5,10
2018-09-21,10,18,35,39,42,3,8
2018-09-28,12,21,22,28,47,1,8
2018-10-05,1,8,16,34,45,2,5
2018-10-12,2,7,18,20,31,7,12
2018-10-19,4,10,23,24,33,2,5
2018-10-26,10,13,14,27,42,3,6
2018-11-02,7,12,14,18,29,6,11
2018-11-09,8,12,24,29,46,2,12
2018-11-16,12,37,38,40,41,1,12
2018-11-23,5,21,23,30,42,5,7
2018-11-30,4,24,29,33,50,1,3
2018-12-07,11,23,24,37,50,9,11
2018-12-14,3,20,38,42,47,4,11
2018-12-21,16,29,37,40,49,3,5
2018-12-28,4,25,26,31,34,11,12
2019-01-04,1,9,11,24,33,7,9
2019-01-11,11,14,15,23,45,2,10
2019-01-18,2,3,31,40,44,1,11
2019-01-25,4,6,15,40,46,8,12
2019-02-01,6,13,15,34,44,2,3
2019-02-08,7,24,38,46,47,4,12
2019-02-15,25,31,32,39,50,1,4
2019-02-22,5,14,16,25,29,5,8
2019-03-01,1,20,36,40,47,3,7
2019-03-08,2,14,23,35,47,6,7
2019-03-15,6,22,26,34,37,1,11
2019-03-22,6,12,37,45,47,8,10
2019-03-29,6,11,22,36,47,3,4
2019-04-05,8,14,19,25,41,8,12
2019-04-12,27,33,43,44,49,1,6
2019-04-19,8,12,37,46,48,5,10
2019-04-26,7,11,16,29,50,5,10
2019-05-03,7,9,24,33,47,2,5
2019-05-10,2,7,23,25,41,1,6
2019-05-17,5,9,22,35,45,4,10
2019-05-24,16,20,28,45,46,1,12
2019-05-31,12,22,30,33,41,8,9
2019-06-07,11,26,28,39,48,6,12
2019-06-14,14,15,21,23,42,11,12
2019-06-21,6,18,23,48,49,1,12
2019-06-28,1,18,34,36,43,2,11
2019-07-05,15,21,24,38,46,3,11
2019-07-12,2,18,19,45,50,1,2
2019-07-19,3,6,7,17,19,3,8
2019-07-26,9,14,33,38,42,5,7
2019-08-02,4,12,16,19,50,1,12
2019-08-09,1,10,26,39,44,1,6
2019-08-16,11,19,28,37,46,4,8
2019-08-23,2,12,26,27,45,2,11
2019-08-30,3,7,28,31,35,1,2
2019-09-06,4,10,11,32,46,2,7
2019-09-13,1,8,13,28,35,5,12
2019-09-20,6,13,27,37,44,6,7
2019-09-27,2,9,16,27,42,1,10
2019-10-04,7,23,32,34,37,3,6
2019-10-11,8,22,42,44,48,7,11
2019-10-18,13,14,24,37,45,1,10
2019-10-25,18,21,35,38,47,1,8
2019-11-01,4,17,27,34,43,1,2
2019-11-08,11,17,25,33,36,2,8
2019-11-15,6,10,28,32,42,1,2
2019-11-22,12,16,17,31,43,8,9
2019-11-29,12,13,24,43,47,1,3
2019-12-06,5,9,17,21,31,1,6
2019-12-13,10,19,28,40,45,6,7
2019-12-20,2,18,22,35,40,1,9
2019-12-27,3,29,39,40,49,5,10
2020-01-03,17,31,43,46,50,5,7
2020-01-10,9,35,41,42,50,2,10
2020-01-17,2,21,36,38,45,2,7
2020-01-24,4,12,23,35,36,3,11
2020-01-31,12,29,44,45,50,5,12
2020-02-07,13,20,22,28,35,1,4
2020-02-14,28,31,35,46,48,7,11
2020-02-21,9,18,27,36,46,4,10
2020-02-28,24,36,40,45,48,3,12
2020-03-06,11,20,24,26,40,6,8
2020-03-13,2,5,8,33,48,1,2
2020-03-20,16,27,41,44,50,1,11
2020-03-27,3,20,25,37,44,2,4
2020-04-03,15,20,26,44,46,6,11
2020-04-10,3,10,26,45,48,7,9
2020-04-17,1,5,11,21,39,2,4
2020-04-24,16,18,30,45,48,10,12
2020-05-01,2,6,10,29,46,6,10
2020-05-08,9,16,30,32,45,9,10
2020-05-15,2,20,23,34,42,8,9
2020-05-22,8,9,10,15,30,5,8
2020-05-29,1,10,36,47,50,7,10
2020-06-05,3,6,9,37,44,6,8
2020-06-12,20,33,34,44,47,1,6
2020-06-19,11,27,28,30,38,2,10
2020-06-26,9,21,23,38,44,2,6
2020-07-03,20,28,29,44,50,3,12
2020-07-10,6,11,12,22,40,7,8
2020-07-17,16,22,29,30,40,3,8
2020-07-24,5,7,18,21,33,2,4
2020-07-31,2,3,15,22,46,3,10
2020-08-07,1,8,15,29,32,11,12
2020-08-14,22,27,28,35,46,1,8
2020-08-21,9,10,43,46,50,8,10
2020-08-28,13,27,28,32,37,5,6
2020-09-04,2,13,14,18,19,3,7
2020-09-11,12,19,34,35,42,5,6
2020-09-18,5,24,25,31,43,2,3
2020-09-25,11,14,20,39,49,1,5
2020-10-02,6,16,26,41,48,8,10
2020-10-09,17,18,26,33,37,6,9
2020-10-16,4,12,13,39,49,1,3
2020-10-23,3,14,32,37,42,4,8
2020-10-30,2,12,18,32,35,4,6
2020-11-06,9,21,24,32,43,3,11
2020-11-13,7,29,35,40,42,8,11
2020-11-20,2,9,11,22,32,7,11
2020-11-27,7,9,20,29,39,2,5
2020-12-04,24,26,27,35,40,4,12
2020-12-11,11,20,27,30,43,7,9
2020-12-18,1,36,37,38,41,8,12
2020-12-25,12,14,17,23,37,5,7
2021-01-01,8,9,29,37,44,6,12
2021-01-08,14,26,35,38,43,4,7
2021-01-15,3,7,12,21,23,5,10
2021-01-22,12,14,23,25,27,6,11
2021-01-29,2,9,25,33,46,3,10
2021-02-05,1,10,17,33,36,10,11
2021-02-12,6,22,36,46,47,1,12
2021-02-19,7,16,20,23,45,10,12
2021-02-26,1,7,9,14,16,5,6
2021-03-05,4,30,33,38,50,2,8
2021-03-12,4,13,19,26,30,5,12
2021-03-19,5,16,29,36,40,9,11
2021-03-26,21,27,28,42,43,5,10
2021-04-02,1,3,6,19,39,4,8
2021-04-09,16,22,27,37,43,1,4
2021-04-16,2,24,33,35,43,6,7
2021-04-23,5,6,17,30,33,7,12
2021-04-30,21,22,27,31,37,1,8
2021-05-07,5,9,34,43,50,10,11
2021-05-14,11,25,39,42,50,4,12
2021-05-21,3,6,22,34,42,9,12
2021-05-28,20,32,46,48,49,1,12
2021-06-04,3,12,15,24,38,4,5
2021-06-11,17,27,28,39,49,7,10
2021-06-18,10,25,37,39,49,2,4
2021-06-25,8,21,32,33,43,4,11
2021-07-02,17,18,19,24,37,7,8
2021-07-09,17,31,32,42,43,1,5
2021-07-16,1,5,6,10,34,2,11
2021-07-23,3,12,23,43,49,10,12
2021-07-30,9,25,37,39,49,2,10
2021-08-06,11,14,29,42,48,10,11
2021-08-13,6,11,16,23,44,1,8
2021-08-20,4,16,20,27,45,5,8
2021-08-27,4,16,22,23,30,6,10
2021-09-03,1,6,17,27,39,4,7
2021-09-10,9,10,21,33,47,1,8
2021-09-17,7,27,34,37,48,1,5
2021-09-24,7,9,20,30,38,7,10
2021-10-01,12,19,26,41,48,2,3
2021-10-08,6,9,12,18,21,1,12
2021-10-15,2,4,20,34,35,2,10
2021-10-22,2,24,26,31,39,1,6
2021-10-29,6,7,28,32,36,3,9
2021-11-05,16,17,30,40,48,7,8
2021-11-12,8,10,32,34,39,3,5
2021-11-19,2,8,21,34,41,3,5
2021-11-26,5,13,16,37,41,6,9
2021-12-03,22,29,42,48,49,2,3
2021-12-10,7,24,27,28,45,5,10
2021-12-17,17,20,33,36,43,3,4
2021-12-24,13,18,35,40,47,4,11
2021-12-31,17,18,20,44,49,3,5
2022-01-07,5,18,19,22,43,3,11
2022-01-14,12,17,22,26,37,2,10
2022-01-21,16,30,32,33,49,2,11
2022-01-28,16,19,20,36,42,2,11
2022-02-04,3,18,26,27,30,8,10
2022-02-11,10,17,18,37,47,5,9
2022-02-18,17,22,28,46,48,2,12
2022-02-25,19,22,24,28,39,4,5
2022-03-04,11,17,22,40,42,7,9
2022-03-11,8,9,15,25,49,1,9
2022-03-18,1,7,21,37,38,7,12
2022-03-25,10,30,31,40,49,8,9
2022-04-01,4,11,15,27,46,7,12
2022-04-08,2,3,38,40,47,10,11
2022-04-15,11,22,37,40,44,6,8
2022-04-22,3,18,33,44,46,10,11
2022-04-29,32,33,34,36,49,6,11
2022-05-06,12,15,17,30,40,7,11
2022-05-13,15,18,37,41,42,5,10
2022-05-20,11,18,21,42,43,9,10
2022-05-27,12,24,26,33,42,8,9
2022-06-03,11,13,29,31,46,4,7
2022-06-10,6,8,24,36,49,4,7
2022-06-17,16,17,18,22,40,9,12
2022-06-24,4,13,20,41,45,3,9
2022-07-01,13,27,30,42,48,8,12
2022-07-08,13,34,38,44,46,6,9
2022-07-15,1,21,27,37,47,2,9
2022-07-22,3,6,11,17,47,4,12
2022-07-29,2,10,11,14,33,6,11
2022-08-05,5,9,16,20,46,1,4
2022-08-12,3,15,29,35,38,6,9
2022-08-19,2,5,40,44,50,7,12
2022-08-26,14,15,17,43,49,7,11
2022-09-02,13,22,30,31,37,2,4
2022-09-09,14,16,23,32,39,5,10
2022-09-16,1,9,14,28,37,7,12
2022-09-23,3,30,31,34,41,1,3
2022-09-30,15,26,34,35,45,2,12
2022-10-07,5,7,15,25,43,1,2
2022-10-14,7,15,17,26,34,5,12
2022-10-21,1,8,21,33,49,1,3
2022-10-28,2,3,20,21,46,10,11
2022-11-04,10,24,34,40,41,5,9
2022-11-11,13,17,22,28,46,3,9
2022-11-18,4,19,31,36,37,8,9
2022-11-25,14,17,25,29,39,3,8
2022-12-02,9,17,21,24,36,1,7
2022-12-09,6,8,11,13,21,1,5
2022-12-16,2,17,26,30,34,5,7
2022-12-23,8,14,19,22,26,2,4
2022-12-30,1,6,34,36,40,2,8
2023-01-06,7,8,13,25,45,7,10
2023-01-13,14,24,32,36,43,6,8
2023-01-20,3,6,27,28,38,6,10
2023-01-27,5,21,28,31,42,2,6
2023-02-03,6,18,19,30,40,4,12
2023-02-10,6,7,10,16,47,5,8
2023-02-17,28,29,35,37,44,6,11
2023-02-24,10,20,21,30,46,4,8
2023-03-03,3,21,25,29,31,3,6
2023-03-10,4,24,29,30,40,2,10
2023-03-17,12,15,31,32,40,4,7
2023-03-24,1,24,31,37,48,3,7
2023-03-31,6,11,12,14,50,2,11
2023-04-07,12,25,31,33,46,9,11
